,angx,angy,heading,elapsed,timestamp
0,-56.6,25.3,175.0,0.016,1681843398.89
1,-56.6,25.3,175.0,0.015,1681843398.97
2,-56.6,25.3,175.0,0.016,1681843399.05
3,-56.7,25.3,175.0,0.016,1681843399.13
4,-56.7,25.3,175.0,0.016,1681843399.21
5,-56.6,25.3,175.0,0.016,1681843399.29
6,-56.7,25.5,176.0,0.015,1681843399.37
7,-56.9,25.4,176.0,0.015,1681843399.45
8,-57.0,25.2,176.0,0.015,1681843399.53
9,,,,,
10,-21.0,-36.7,241.0,0.016,1681843399.63
11,-57.1,25.1,176.0,0.016,1681843399.71
12,-57.1,25.1,176.0,0.015,1681843399.79
13,-57.0,25.1,176.0,0.015,1681843399.87
14,-56.9,25.2,176.0,0.015,1681843399.95
15,-57.0,25.2,176.0,0.015,1681843400.03
16,-57.1,25.1,176.0,0.016,1681843400.11
17,-57.0,24.9,176.0,0.016,1681843400.19
18,-56.7,25.6,177.0,0.016,1681843400.27
19,-55.7,25.8,176.0,0.015,1681843400.35
20,-55.2,21.9,174.0,0.015,1681843400.43
21,-56.3,25.3,176.0,0.015,1681843400.51
22,-55.2,25.5,177.0,0.015,1681843400.59
23,-54.7,25.8,178.0,0.015,1681843400.67
24,-54.6,26.6,178.0,0.015,1681843400.75
25,-54.7,26.8,177.0,0.016,1681843400.83
26,-55.3,26.7,177.0,0.015,1681843400.91
27,-56.5,27.4,179.0,0.015,1681843400.99
28,,,,,
29,,,,,
30,-41.6,-0.1,0.0,0.016,1681843401.10
31,-18.9,-40.4,290.0,0.016,1681843401.18
32,-58.1,22.1,172.0,0.015,1681843401.26
33,-60.5,18.6,170.0,0.016,1681843401.34
34,-61.6,15.0,167.0,0.016,1681843401.42
35,-61.7,12.3,160.0,0.016,1681843401.50
36,-63.4,8.5,153.0,0.015,1681843401.58
37,-65.5,7.0,146.0,0.015,1681843401.66
38,-69.1,7.6,140.0,0.016,1681843401.74
39,-73.2,4.9,136.0,0.016,1681843401.82
40,-76.0,3.3,134.0,0.016,1681843401.90
41,-80.4,3.5,133.0,0.016,1681843401.98
42,-84.3,3.5,134.0,0.016,1681843402.06
43,-88.0,3.6,135.0,0.016,1681843402.14
44,-91.0,2.9,136.0,0.015,1681843402.22
45,-94.7,2.9,137.0,0.015,1681843402.30
46,-97.8,2.9,139.0,0.016,1681843402.38
47,-99.7,1.1,139.0,0.016,1681843402.46
48,-102.2,-0.1,140.0,0.016,1681843402.54
49,-103.8,-1.5,140.0,0.016,1681843402.62
50,-104.3,-3.2,140.0,0.016,1681843402.70
51,-104.5,-4.7,140.0,0.015,1681843402.78
52,-104.9,-5.4,140.0,0.015,1681843402.86
53,-102.0,-6.9,139.0,0.015,1681843402.94
54,-101.0,-8.2,138.0,0.016,1681843403.02
55,-100.0,-9.4,136.0,0.016,1681843403.10
56,-101.4,-10.2,136.0,0.015,1681843403.18
57,-102.1,-10.6,134.0,0.015,1681843403.26
