,ax,ay,az,gx,gy,gz,mx,my,mz,elapsed,timestamp
0,-213.0,-368.0,245.0,17.0,32.0,-27.0,0.0,0.0,0.0,0.015,1681843398.93
1,-214.0,-370.0,246.0,8.0,6.0,-16.0,0.0,0.0,0.0,0.015,1681843399.01
2,-213.0,-370.0,240.0,18.0,12.0,-26.0,0.0,0.0,0.0,0.016,1681843399.09
3,-212.0,-368.0,246.0,12.0,7.0,-30.0,0.0,0.0,0.0,0.016,1681843399.17
4,-208.0,-367.0,245.0,26.0,54.0,-20.0,0.0,0.0,0.0,0.016,1681843399.25
5,-216.0,-370.0,243.0,11.0,49.0,-24.0,0.0,0.0,0.0,0.015,1681843399.32
6,-216.0,-373.0,238.0,-11.0,-38.0,-38.0,0.0,0.0,0.0,0.015,1681843399.41
7,-218.0,-374.0,247.0,0.0,-13.0,-62.0,0.0,0.0,0.0,0.015,1681843399.49
8,,,,,,,,,,,
9,,,,,,,,,,,
10,1500.0,1500.0,1500.0,885.0,1500.0,1500.0,1500.0,1500.0,1500.0,0.015,1681843399.66
11,-210.0,-371.0,248.0,-4.0,33.0,-10.0,0.0,0.0,0.0,0.015,1681843399.74
12,-202.0,-371.0,236.0,17.0,5.0,13.0,0.0,0.0,0.0,0.015,1681843399.82
13,-210.0,-368.0,239.0,28.0,10.0,23.0,0.0,0.0,0.0,0.015,1681843399.90
14,-214.0,-373.0,232.0,42.0,6.0,-29.0,0.0,0.0,0.0,0.015,1681843399.98
15,-211.0,-374.0,229.0,-19.0,-43.0,-44.0,0.0,0.0,0.0,0.015,1681843400.06
16,-211.0,-372.0,247.0,-17.0,-25.0,-65.0,0.0,0.0,0.0,0.016,1681843400.14
17,-218.0,-372.0,247.0,97.0,239.0,52.0,0.0,0.0,0.0,0.016,1681843400.22
18,-191.0,-342.0,231.0,98.0,-257.0,5.0,0.0,0.0,0.0,0.016,1681843400.30
19,-240.0,-372.0,295.0,-300.0,-1222.0,-763.0,0.0,0.0,0.0,0.015,1681843400.38
20,-364.0,-318.0,187.0,-57.0,-466.0,-249.0,0.0,0.0,0.0,0.015,1681843400.46
21,-153.0,-400.0,284.0,270.0,374.0,38.0,0.0,0.0,0.0,0.015,1681843400.54
