,estalt,vario,elapsed,timestamp
0,-458.0,-1.0,0.016,1681843398.88
1,-416.0,-1.0,0.015,1681843398.96
2,-432.0,-1.0,0.015,1681843399.04
3,-466.0,-1.0,0.015,1681843399.12
4,-416.0,-1.0,0.015,1681843399.20
5,-449.0,-1.0,0.015,1681843399.28
6,-424.0,-1.0,0.015,1681843399.36
7,-432.0,-1.0,0.015,1681843399.44
8,-449.0,-1.0,0.015,1681843399.52
9,,,,
10,1500.0,1500.0,0.015,1681843399.61
11,-466.0,-1.0,0.015,1681843399.69
12,-466.0,-1.0,0.015,1681843399.77
13,-466.0,-1.0,0.015,1681843399.85
14,-466.0,-1.0,0.014,1681843399.93
15,-441.0,-1.0,0.015,1681843400.01
16,-432.0,-1.0,0.015,1681843400.09
17,-483.0,-1.0,0.015,1681843400.17
18,-474.0,-1.0,0.015,1681843400.25
19,-466.0,-1.0,0.014,1681843400.33
20,-432.0,-1.0,0.015,1681843400.41
21,-474.0,-1.0,0.015,1681843400.49
22,-449.0,-1.0,0.015,1681843400.57
23,-500.0,-1.0,0.014,1681843400.65
24,-483.0,-1.0,0.015,1681843400.73
25,-466.0,-1.0,0.015,1681843400.81
26,-424.0,-1.0,0.015,1681843400.89
27,-466.0,-1.0,0.015,1681843400.97
28,,,,
29,,,,
30,-235.0,-376.0,0.015,1681843401.09
31,-554.0,250.0,0.015,1681843401.17
32,,,,
33,-416.0,-1.0,0.015,1681843401.33
34,-432.0,-1.0,0.015,1681843401.41
35,-458.0,-1.0,0.015,1681843401.49
36,-399.0,-1.0,0.015,1681843401.56
37,-432.0,-1.0,0.015,1681843401.65
38,-449.0,-1.0,0.015,1681843401.73
39,-424.0,-1.0,0.015,1681843401.81
40,-365.0,-1.0,0.015,1681843401.89
41,-407.0,-1.0,0.015,1681843401.97
42,-407.0,-1.0,0.015,1681843402.05
43,-407.0,-1.0,0.015,1681843402.13
44,-474.0,-1.0,0.014,1681843402.21
45,-424.0,-1.0,0.015,1681843402.29
46,-432.0,-1.0,0.015,1681843402.37
47,-441.0,-1.0,0.015,1681843402.45
48,-416.0,-1.0,0.015,1681843402.53
49,-416.0,-1.0,0.015,1681843402.61
50,-407.0,-1.0,0.015,1681843402.69
51,-407.0,-1.0,0.015,1681843402.76
52,-441.0,-1.0,0.015,1681843402.84
53,-449.0,-1.0,0.015,1681843402.93
54,-374.0,-1.0,0.015,1681843403.01
55,-365.0,-1.0,0.015,1681843403.09
56,-424.0,-1.0,0.014,1681843403.16
57,-399.0,-1.0,0.015,1681843403.24
58,-407.0,-1.0,0.015,1681843403.33
59,-374.0,-1.0,0.015,1681843403.41
60,-374.0,-1.0,0.015,1681843403.49
61,-407.0,-1.0,0.014,1681843403.56
62,-365.0,-1.0,0.015,1681843403.65
63,-449.0,-1.0,0.015,1681843403.73
64,-407.0,-1.0,0.015,1681843403.81
65,-458.0,-1.0,0.015,1681843403.88
66,,,,
67,-416.0,-1.0,0.015,1681843404.03
68,-357.0,-1.0,0.015,1681843404.11
69,-365.0,-1.0,0.015,1681843404.19
70,-399.0,-1.0,0.015,1681843404.27
71,-407.0,-1.0,0.015,1681843404.35
72,-382.0,-1.0,0.015,1681843404.43
73,-399.0,-1.0,0.015,1681843404.51
74,-365.0,-1.0,0.015,1681843404.59
75,-432.0,-1.0,0.014,1681843404.67
76,-449.0,-1.0,0.014,1681843404.75
77,-365.0,-1.0,0.015,1681843404.83
78,-407.0,-1.0,0.015,1681843404.91
79,-424.0,-1.0,0.015,1681843404.99
80,-424.0,-1.0,0.015,1681843405.07
81,-441.0,-1.0,0.015,1681843405.15
82,-407.0,-1.0,0.014,1681843405.23
83,-407.0,-1.0,0.015,1681843405.31
84,-416.0,-1.0,0.015,1681843405.39
85,,,,
86,-262.0,-405.0,0.015,1681843405.52
87,-449.0,-1.0,0.015,1681843405.60
88,-424.0,-1.0,0.014,1681843405.68
89,-449.0,-1.0,0.014,1681843405.76
90,-399.0,-1.0,0.015,1681843405.84
91,-441.0,-1.0,0.015,1681843405.92
92,-474.0,-1.0,0.015,1681843406.00
93,-466.0,-1.0,0.015,1681843406.08
94,-466.0,-1.0,0.014,1681843406.16
95,-466.0,-1.0,0.014,1681843406.24
96,-458.0,-1.0,0.015,1681843406.32
97,-508.0,-1.0,0.015,1681843406.40
98,-458.0,-1.0,0.015,1681843406.48
99,-474.0,-1.0,0.015,1681843406.56
100,-466.0,-1.0,0.015,1681843406.64
101,-441.0,-1.0,0.014,1681843406.72
102,-491.0,-1.0,0.015,1681843406.80
103,-432.0,-1.0,0.015,1681843406.88
104,-458.0,-1.0,0.015,1681843406.96
105,-500.0,-1.0,0.014,1681843407.04
106,-449.0,-1.0,0.014,1681843407.12
107,-533.0,-1.0,0.015,1681843407.20
108,-474.0,-1.0,0.015,1681843407.28
109,-474.0,-1.0,0.015,1681843407.36
110,-491.0,-1.0,0.014,1681843407.44
111,-458.0,-1.0,0.015,1681843407.52
112,-432.0,-1.0,0.014,1681843407.60
113,-483.0,-1.0,0.015,1681843407.68
114,-449.0,-1.0,0.015,1681843407.76
115,-500.0,-1.0,0.015,1681843407.84
116,-466.0,-1.0,0.015,1681843407.92
117,-474.0,-1.0,0.015,1681843408.00
118,-458.0,-1.0,0.015,1681843408.08
119,-466.0,-1.0,0.014,1681843408.16
120,-483.0,-1.0,0.015,1681843408.24
121,-533.0,-1.0,0.014,1681843408.32
122,-474.0,-1.0,0.015,1681843408.40
123,-432.0,-1.0,0.015,1681843408.48
124,,,,
125,,,,
126,-169.0,-5.0,0.0,1681843408.54
127,-458.0,-1.0,0.015,1681843408.61
128,-75.0,-54.0,0.015,1681843408.69
129,-91.0,30.0,0.014,1681843408.77
130,,,,
131,-449.0,-1.0,0.015,1681843408.93
132,-474.0,-1.0,0.015,1681843409.01
133,-432.0,-1.0,0.015,1681843409.09
134,-407.0,-1.0,0.015,1681843409.17
135,-432.0,-1.0,0.015,1681843409.25
136,-424.0,-1.0,0.015,1681843409.33
137,-391.0,-1.0,0.014,1681843409.41
138,-491.0,-1.0,0.014,1681843409.49
139,-407.0,-1.0,0.014,1681843409.57
140,-441.0,-1.0,0.015,1681843409.65
141,-407.0,-1.0,0.015,1681843409.73
142,-466.0,-1.0,0.015,1681843409.81
143,,,,
144,-424.0,-1.0,0.015,1681843409.89
145,-154.0,-8.0,0.014,1681843409.96
146,-382.0,-1.0,0.014,1681843410.05
147,-399.0,-1.0,0.014,1681843410.13
148,-424.0,-1.0,0.014,1681843410.21
149,-466.0,-1.0,0.015,1681843410.29
150,-424.0,-1.0,0.015,1681843410.37
151,-441.0,-1.0,0.014,1681843410.44
152,-399.0,-1.0,0.014,1681843410.53
153,-416.0,-1.0,0.014,1681843410.61
154,-407.0,-1.0,0.015,1681843410.69
155,-432.0,-1.0,0.015,1681843410.77
156,-407.0,-1.0,0.015,1681843410.85
157,-424.0,-1.0,0.014,1681843410.93
158,-441.0,-1.0,0.014,1681843411.01
159,-432.0,-1.0,0.015,1681843411.09
160,-424.0,-1.0,0.014,1681843411.17
161,-449.0,-1.0,0.015,1681843411.25
162,,,,
163,,,,
164,-407.0,-1.0,0.015,1681843411.37
165,-93.0,-87.0,0.015,1681843411.45
166,-407.0,-1.0,0.015,1681843411.53
167,-483.0,-1.0,0.015,1681843411.61
168,-483.0,-1.0,0.015,1681843411.69
169,-357.0,-1.0,0.015,1681843411.77
170,-432.0,-1.0,0.015,1681843411.85
171,-474.0,-1.0,0.014,1681843411.93
172,-441.0,-1.0,0.015,1681843412.01
173,-458.0,-1.0,0.015,1681843412.09
174,-500.0,-1.0,0.015,1681843412.17
175,-424.0,-1.0,0.015,1681843412.25
176,-424.0,-1.0,0.015,1681843412.33
177,-432.0,-1.0,0.014,1681843412.41
178,-416.0,-1.0,0.015,1681843412.49
179,-349.0,-1.0,0.015,1681843412.57
180,-424.0,-1.0,0.014,1681843412.65
181,-449.0,-1.0,0.015,1681843412.73
182,-407.0,-1.0,0.015,1681843412.81
183,-391.0,-1.0,0.015,1681843412.89
184,-374.0,-1.0,0.015,1681843412.97
185,-483.0,-1.0,0.015,1681843413.05
186,-424.0,-1.0,0.014,1681843413.13
187,-374.0,-1.0,0.015,1681843413.21
188,-399.0,-1.0,0.015,1681843413.29
189,-416.0,-1.0,0.015,1681843413.37
190,-349.0,-1.0,0.015,1681843413.45
191,-365.0,-1.0,0.015,1681843413.53
192,-307.0,-1.0,0.014,1681843413.61
193,-424.0,-1.0,0.015,1681843413.69
194,-349.0,-1.0,0.015,1681843413.77
195,-365.0,-1.0,0.014,1681843413.85
196,-382.0,-1.0,0.014,1681843413.93
197,-357.0,-1.0,0.015,1681843414.01
198,-449.0,-1.0,0.015,1681843414.09
199,-365.0,-1.0,0.015,1681843414.17
200,,,,
201,-382.0,-1.0,0.014,1681843414.32
202,-391.0,-1.0,0.015,1681843414.40
203,-424.0,-1.0,0.015,1681843414.48
204,-391.0,-1.0,0.015,1681843414.56
205,-432.0,-1.0,0.015,1681843414.64
206,-432.0,-1.0,0.015,1681843414.72
207,-340.0,-1.0,0.014,1681843414.80
208,-432.0,-1.0,0.015,1681843414.88
209,-416.0,-1.0,0.015,1681843414.96
210,-474.0,-1.0,0.014,1681843415.04
211,-399.0,-1.0,0.014,1681843415.12
212,-391.0,-1.0,0.015,1681843415.20
213,-441.0,-1.0,0.014,1681843415.28
214,-491.0,-1.0,0.015,1681843415.36
215,-474.0,-1.0,0.014,1681843415.44
216,-466.0,-1.0,0.014,1681843415.52
217,-516.0,-1.0,0.015,1681843415.60
218,-458.0,-1.0,0.015,1681843415.68
219,,,,
220,-193.0,125.0,0.0,1681843415.78
221,-153.0,-149.0,0.015,1681843415.85
222,-483.0,-1.0,0.014,1681843415.93
223,-466.0,-1.0,0.014,1681843416.01
224,-449.0,-1.0,0.015,1681843416.09
225,-491.0,-1.0,0.015,1681843416.17
226,-474.0,-1.0,0.014,1681843416.25
227,-458.0,-1.0,0.014,1681843416.33
228,-474.0,-1.0,0.015,1681843416.41
229,-449.0,-1.0,0.014,1681843416.49
230,-474.0,-1.0,0.015,1681843416.57
231,-449.0,-1.0,0.015,1681843416.65
232,-466.0,-1.0,0.014,1681843416.73
233,-541.0,-1.0,0.015,1681843416.81
234,-483.0,-1.0,0.015,1681843416.89
235,-500.0,-1.0,0.014,1681843416.97
236,-483.0,-1.0,0.015,1681843417.05
237,-449.0,-1.0,0.014,1681843417.13
238,-432.0,-1.0,0.014,1681843417.21
239,,,,
240,-466.0,-1.0,0.015,1681843417.36
241,-483.0,-1.0,0.014,1681843417.44
242,-458.0,-1.0,0.014,1681843417.52
243,-449.0,-1.0,0.015,1681843417.60
244,-500.0,-1.0,0.014,1681843417.68
245,-458.0,-1.0,0.015,1681843417.76
246,-458.0,-1.0,0.015,1681843417.84
247,-466.0,-1.0,0.014,1681843417.92
248,-424.0,-1.0,0.014,1681843418.00
249,-466.0,-1.0,0.014,1681843418.08
250,-483.0,-1.0,0.014,1681843418.16
251,-458.0,-1.0,0.015,1681843418.24
252,-441.0,-1.0,0.014,1681843418.32
253,-474.0,-1.0,0.014,1681843418.40
254,-474.0,-1.0,0.014,1681843418.48
255,-466.0,-1.0,0.014,1681843418.56
256,-491.0,-1.0,0.014,1681843418.64
257,-432.0,-1.0,0.014,1681843418.72
258,,,,
259,,,,
260,,,,
261,,,,
262,1500.0,1500.0,0.014,1681843418.91
263,-466.0,-1.0,0.014,1681843418.99
264,-14.0,-11.0,0.014,1681843419.07
265,-466.0,-1.0,0.013,1681843419.15
266,-474.0,-1.0,0.014,1681843419.23
267,-500.0,-1.0,0.014,1681843419.31
268,-449.0,-1.0,0.014,1681843419.39
269,-474.0,-1.0,0.014,1681843419.47
270,-449.0,-1.0,0.014,1681843419.55
271,-474.0,-1.0,0.014,1681843419.63
272,-432.0,-1.0,0.014,1681843419.71
273,-449.0,-1.0,0.014,1681843419.79
274,-483.0,-1.0,0.014,1681843419.87
275,-500.0,-1.0,0.014,1681843419.95
276,-441.0,-1.0,0.014,1681843420.03
277,,,,
278,,,,
279,1500.0,1500.0,0.014,1681843420.17
280,-491.0,-1.0,0.014,1681843420.25
281,-449.0,-1.0,0.014,1681843420.33
282,-441.0,-1.0,0.014,1681843420.41
283,-441.0,-1.0,0.014,1681843420.49
284,-500.0,-1.0,0.014,1681843420.57
285,-432.0,-1.0,0.014,1681843420.65
286,-483.0,-1.0,0.014,1681843420.73
287,-491.0,-1.0,0.014,1681843420.81
288,-483.0,-1.0,0.014,1681843420.89
289,-466.0,-1.0,0.014,1681843420.97
290,-491.0,-1.0,0.014,1681843421.05
291,-449.0,-1.0,0.014,1681843421.13
292,-491.0,-1.0,0.014,1681843421.21
293,-474.0,-1.0,0.014,1681843421.29
294,-491.0,-1.0,0.014,1681843421.37
295,-474.0,-1.0,0.014,1681843421.45
296,,,,
297,,,,
298,109.0,-32.0,0.014,1681843421.57
299,4.0,95.0,0.014,1681843421.65
300,,,,
301,-424.0,-1.0,0.014,1681843421.81
302,-458.0,-1.0,0.014,1681843421.89
303,-441.0,-1.0,0.014,1681843421.97
304,-416.0,-1.0,0.014,1681843422.05
305,-508.0,-1.0,0.014,1681843422.13
306,-491.0,-1.0,0.014,1681843422.21
307,-491.0,-1.0,0.014,1681843422.29
308,-458.0,-1.0,0.014,1681843422.37
309,-483.0,-1.0,0.014,1681843422.45
310,-432.0,-1.0,0.014,1681843422.53
311,-449.0,-1.0,0.014,1681843422.61
312,-449.0,-1.0,0.014,1681843422.69
313,-466.0,-1.0,0.014,1681843422.77
314,-458.0,-1.0,0.014,1681843422.85
315,-483.0,-1.0,0.014,1681843422.93
316,-491.0,-1.0,0.014,1681843423.01
317,-449.0,-1.0,0.014,1681843423.09
318,-458.0,-1.0,0.014,1681843423.17
319,-458.0,-1.0,0.014,1681843423.25
320,-441.0,-1.0,0.014,1681843423.33
321,-432.0,-1.0,0.014,1681843423.41
322,-466.0,-1.0,0.014,1681843423.49
323,-407.0,-1.0,0.014,1681843423.57
324,-424.0,-1.0,0.014,1681843423.65
325,-449.0,-1.0,0.014,1681843423.73
326,-432.0,-1.0,0.014,1681843423.81
327,-432.0,-1.0,0.014,1681843423.89
328,-458.0,-1.0,0.014,1681843423.97
329,-432.0,-1.0,0.014,1681843424.05
330,-466.0,-1.0,0.014,1681843424.13
331,-432.0,-1.0,0.014,1681843424.21
332,-474.0,-1.0,0.014,1681843424.29
333,-432.0,-1.0,0.014,1681843424.37
334,,,,
335,-399.0,-1.0,0.015,1681843424.51
336,-432.0,-1.0,0.015,1681843424.59
337,-458.0,-1.0,0.015,1681843424.67
338,-407.0,-1.0,0.016,1681843424.75
339,-466.0,-1.0,0.015,1681843424.83
340,-441.0,-1.0,0.015,1681843424.91
341,-474.0,-1.0,0.015,1681843424.99
342,-466.0,-1.0,0.015,1681843425.07
343,-458.0,-1.0,0.015,1681843425.15
