,roll,pitch,yaw,throttle,elapsed,timestamp
0,1500,1500,1500,885,0.016,1681843398.91
1,1500,1500,1500,885,0.016,1681843398.99
2,1500,1500,1500,885,0.016,1681843399.07
3,1500,1500,1500,885,0.016,1681843399.15
4,1500,1500,1500,885,0.016,1681843399.23
5,1500,1500,1500,885,0.015,1681843399.31
6,1500,1500,1500,885,0.015,1681843399.39
7,1500,1500,1500,885,0.015,1681843399.47
8,,,,,,
9,-211,-368,244,-19,0.001,1681843399.57
10,,,,,,
11,1500,1500,1500,885,0.016,1681843399.73
12,1500,1500,1500,885,0.015,1681843399.80
13,1500,1500,1500,885,0.015,1681843399.89
14,1500,1500,1500,885,0.015,1681843399.97
15,1500,1500,1500,885,0.015,1681843400.05
16,1500,1500,1500,885,0.016,1681843400.13
17,1500,1500,1500,885,0.016,1681843400.21
18,1500,1500,1500,885,0.016,1681843400.29
19,1500,1500,1500,885,0.015,1681843400.36
20,1500,1500,1500,885,0.015,1681843400.44
21,1500,1500,1500,885,0.015,1681843400.52
22,1500,1500,1500,885,0.015,1681843400.60
23,1500,1500,1500,885,0.015,1681843400.68
24,1500,1500,1500,885,0.015,1681843400.77
25,1500,1500,1500,885,0.015,1681843400.85
26,1500,1500,1500,885,0.015,1681843400.93
27,1500,1500,1500,885,0.016,1681843401.01
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,1500,1500,1500,885,0.015,1681843401.28
33,1500,1500,1500,885,0.015,1681843401.36
34,1500,1500,1500,885,0.016,1681843401.44
35,1500,1500,1500,885,0.016,1681843401.52
36,1500,1500,1500,885,0.015,1681843401.60
37,1500,1500,1500,885,0.015,1681843401.68
38,1500,1500,1500,885,0.016,1681843401.76
39,1500,1500,1500,885,0.016,1681843401.84
40,1500,1500,1500,885,0.016,1681843401.92
41,1500,1500,1500,885,0.016,1681843402.00
42,1500,1500,1500,885,0.016,1681843402.08
43,1500,1500,1500,885,0.015,1681843402.16
44,1500,1500,1500,885,0.015,1681843402.24
45,1500,1500,1500,885,0.016,1681843402.32
46,1500,1500,1500,885,0.016,1681843402.40
47,1500,1500,1500,885,0.016,1681843402.48
48,1500,1500,1500,885,0.016,1681843402.56
49,1500,1500,1500,885,0.016,1681843402.64
50,1500,1500,1500,885,0.016,1681843402.72
51,1500,1500,1500,885,0.015,1681843402.80
52,1500,1500,1500,885,0.015,1681843402.88
53,1500,1500,1500,885,0.015,1681843402.96
